fk_x_invoice_item_hub_id,created_at,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_item_hub_id_raw
11E7137B4A76472FA211020AF2129A61,"2017-03-27 22:56:30.942",USD,768,1,0,NULL,NULL,"USPS label: 9405510200830156728727",11E7137B4A77A0F6BCDA06616AC582AF,CAA9378D895843366BFF4EEB39D4A8DC,...
11E7137B4A8BCB14A211020AF2129A61,"2017-03-27 22:56:31.083",USD,396,1,0,NULL,NULL,"USPS label: 9400110897700060111458",11E7137B4A8D28E3BCDA06616AC582AF,957C1930DBFD6F50BA1F7D7D84F40426,...
11E7137B4A8E8A37A211020AF2129A61,"2017-03-27 22:56:31.101",USD,426,1,0,NULL,NULL,"USPS label: 9400110897700060353513",11E7137B4A8FFFFFBCDA06616AC582AF,A30DE5A56F163B898E5C7DDA5FC1338C,...
11E7137B4A91706AA211020AF2129A61,"2017-03-27 22:56:31.120",USD,432,1,0,NULL,NULL,"USPS label: 9400110897700060278960",11E7137B4A92DAB4BCDA06616AC582AF,5D487FB46994F6C329250C3DC19CF259,...
11E7137B4A94A4BDA211020AF2129A61,"2017-03-27 22:56:31.141",USD,1252,1,0,NULL,NULL,"USPS label: 9405510200881026911480",11E7137B4A95F928BCDA06616AC582AF,B0E68E3B634DA95A28FF4CE94835F1FC,...
11E7137B4A978AF0A211020AF2129A61,"2017-03-27 22:56:31.160",USD,432,1,0,NULL,NULL,"USPS label: 9400110897700060373481",11E7137B4A98F1BDBCDA06616AC582AF,C29679CE05A944C0A306812D7AAA70E6,...
11E7137B4A9A4A13A211020AF2129A61,"2017-03-27 22:56:31.178",USD,426,1,0,NULL,NULL,"USPS label: 9400110897700060474416",11E7137B4A9BC1F1BCDA06616AC582AF,88CF006D8F47C58F2DA80C718C8D7BBD,...
11E7137B4A9D3046A211020AF2129A61,"2017-03-27 22:56:31.197",USD,396,1,0,NULL,NULL,"USPS label: 9400110897700060419028",11E7137B4A9E9194BCDA06616AC582AF,C084FD02CBA8647CF970E35C8AB56374,...
11E7137B4AA01679A211020AF2129A61,"2017-03-27 22:56:31.216",USD,312,1,0,NULL,NULL,"USPS label: 9400110897700060480561",11E7137B4AA16CF5BCDA06616AC582AF,C503E1EB3E2DFB115C5EB4544CA950C4,...
11E7137B4AA2D59CA211020AF2129A61,"2017-03-27 22:56:31.234",USD,1252,1,0,NULL,NULL,"USPS label: 9405510200881028145234",11E7137B4AA42F85BCDA06616AC582AF,D759BFF019DE5A924DB8518D6031A9F3,...
