fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E71379F7E5C392A211020AF2129A61,"2017-03-27 22:47:02.969",USD,928,928,928,0,1,1,0,1,2590-6179,NULL,NULL,NULL,NULL,11E71379F7EE0B3DBCDA06616AC582AF,805C6D3E0BEF6ABED1FC383EC42B9552,...
11E71379F9CFB89CA211020AF2129A61,"2017-03-27 22:47:06.693",USD,15960,15960,15960,0,1,1,0,1,2743-2637,NULL,NULL,NULL,NULL,11E71379FA264801BCDA06616AC582AF,B0A7D473EB7B0C787EAFFF0E5781C071,...
11E71379FB8E0B37A211020AF2129A61,"2017-03-27 22:47:09.530",USD,26336,26336,26336,0,1,1,0,1,2051-0382,NULL,NULL,NULL,NULL,11E71379FBD73395BCDA06616AC582AF,B35E0539F90DFB0AF0F00839B8006F61,...
11E71379FF3BD034A211020AF2129A61,"2017-03-27 22:47:15.851",USD,17646,17646,17646,0,1,1,0,1,2380-7190,NULL,NULL,NULL,NULL,11E71379FF9BA7FFBCDA06616AC582AF,AD6A81C52945A43D9EE752707924C90D,...
11E7137A028D45CFA211020AF2129A61,"2017-03-27 22:47:21.200",USD,22675,22675,22675,0,1,1,0,1,2335-4061,NULL,NULL,NULL,NULL,11E7137A02CBD898BCDA06616AC582AF,B3CC491787BF9E0C83EFC62EBAA8AD84,...
11E7137A06A3DF48A211020AF2129A61,"2017-03-27 22:47:28.216",USD,14640,14640,14640,0,1,1,0,1,2904-8829,NULL,NULL,NULL,NULL,11E7137A06FA7605BCDA06616AC582AF,97EDAA335016C839A5D561EDB7C41FD9,...
11E7137A08AEA3A8A211020AF2129A61,"2017-03-27 22:47:31.619",USD,31072,31072,31072,0,1,1,0,1,2208-9652,NULL,NULL,NULL,NULL,11E7137A0901A744BCDA06616AC582AF,71917A4AB07220B88D5F8D452A709250,...
11E7137A0D7097D1A211020AF2129A61,"2017-03-27 22:47:39.661",USD,18453,18453,18453,0,1,1,0,1,2074-4409,NULL,NULL,NULL,NULL,11E7137A0DCCAFCDBCDA06616AC582AF,FB2D0FB13CFF96B4D13316825FFAFC0B,...
11E7137A0F9EC2CCA211020AF2129A61,"2017-03-27 22:47:43.151",USD,20533,20533,20533,0,1,1,0,1,2102-2464,NULL,NULL,NULL,NULL,11E7137A0FE14E59BCDA06616AC582AF,B21C88ACEE86B7020BC4EADDC5D2F0A8,...
11E7137A1416B6BAA211020AF2129A61,"2017-03-27 22:47:50.686",USD,19888,19888,19888,0,1,1,0,1,2953-5966,NULL,NULL,NULL,NULL,11E7137A145F18D1BCDA06616AC582AF,EE8C188A0CAC69417B9E40C29B9EFA8D,...
11E7137A15ED99AAA211020AF2129A61,"2017-03-27 22:47:53.634",USD,14547,14547,14547,0,1,1,0,1,2135-2860,NULL,NULL,NULL,NULL,11E7137A1620F4A9BCDA06616AC582AF,18E4ED82DF94793338C74E9D2C6B163E,...
