sk_id,created_at,updated_at,deleted_at,fk_r_billing_engine_ref_cd,x_invoice_item_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,x_created_at,fk_s_change_context_id_cr,fk_s_change_context_id_dl,sk_id_raw
11E7137BCE997CD0A211020AF2129A61,"2017-03-27 23:00:12.630","2017-03-27 23:00:12.632",NULL,STRIPE,ii_18I7U2HiCtHGC78FBhhHW7cb,SHIPPING,...,NULL,"2016-06-02 18:52:22",11E7137BCE9AED42BCDA06616AC582AF,NULL,...
11E7137BCE9C8A13A211020AF2129A61,"2017-03-27 23:00:12.650","2017-03-27 23:00:12.652",NULL,STRIPE,ii_18I7U3HiCtHGC78FKD4JxeRQ,SHIPPING,...,NULL,"2016-06-02 18:52:23",11E7137BCE9DFA5DBCDA06616AC582AF,NULL,...
11E7137BCE9F9756A211020AF2129A61,"2017-03-27 23:00:12.669","2017-03-27 23:00:12.672",NULL,STRIPE,ii_18I7U4HiCtHGC78Fmho7Aycj,SHIPPING,...,NULL,"2016-06-02 18:52:24",11E7137BCEA0E98CBCDA06616AC582AF,NULL,...
11E7137BCEA2A499A211020AF2129A61,"2017-03-27 23:00:12.689","2017-03-27 23:00:12.692",NULL,STRIPE,ii_18I7U4HiCtHGC78FsrzdXAd9,SHIPPING,...,NULL,"2016-06-02 18:52:24",11E7137BCEA3ECABBCDA06616AC582AF,NULL,...
11E7137BCEA58ACCA211020AF2129A61,"2017-03-27 23:00:12.708","2017-03-27 23:00:12.711",NULL,STRIPE,ii_18I7U5HiCtHGC78FWht3B5I8,SHIPPING,...,NULL,"2016-06-02 18:52:25",11E7137BCEA6E4CFBCDA06616AC582AF,NULL,...
11E7137BCEA8BF1FA211020AF2129A61,"2017-03-27 23:00:12.729","2017-03-27 23:00:12.732",NULL,STRIPE,ii_18I7U6HiCtHGC78FODEkOBju,SHIPPING,...,NULL,"2016-06-02 18:52:26",11E7137BCEAA1617BCDA06616AC582AF,NULL,...
11E7137BCEABA552A211020AF2129A61,"2017-03-27 23:00:12.748","2017-03-27 23:00:12.751",NULL,STRIPE,ii_18I7U7HiCtHGC78FNSbzpOgK,SHIPPING,...,NULL,"2016-06-02 18:52:27",11E7137BCEAD059CBCDA06616AC582AF,NULL,...
11E7137BCEAED9A5A211020AF2129A61,"2017-03-27 23:00:12.770","2017-03-27 23:00:12.772",NULL,STRIPE,ii_18I7U8HiCtHGC78FGXrIA2fx,SHIPPING,...,NULL,"2016-06-02 18:52:28",11E7137BCEB045B5BCDA06616AC582AF,NULL,...
11E7137BCEB20DF8A211020AF2129A61,"2017-03-27 23:00:12.790","2017-03-27 23:00:12.793",NULL,STRIPE,ii_18I7U8HiCtHGC78FeohoNHja,SHIPPING,...,NULL,"2016-06-02 18:52:28",11E7137BCEB36817BCDA06616AC582AF,NULL,...
11E7137BCEB4F42BA211020AF2129A61,"2017-03-27 23:00:12.810","2017-03-27 23:00:12.812",NULL,STRIPE,ii_18I7U9HiCtHGC78FtibzBOXO,SHIPPING,...,NULL,"2016-06-02 18:52:29",11E7137BCEB65A94BCDA06616AC582AF,NULL,...
11E7137BCEB8016EA211020AF2129A61,"2017-03-27 23:00:12.829","2017-03-27 23:00:12.832",NULL,STRIPE,ii_18I7U9HiCtHGC78FZ1xiNVnx,SHIPPING,...,NULL,"2016-06-02 18:52:29",11E7137BCEB9578CBCDA06616AC582AF,NULL,...
