fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_17DAoXHiCtHGC78FXkMhYXwY,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:58.515","2017-03-27 22:33:58.906","2015-12-01 01:52:49",NULL,NULL
STRIPE,in_17DApeHiCtHGC78FUlHjYKKT,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:00.976","2017-03-27 22:34:01.552","2015-12-01 01:53:58",NULL,NULL
STRIPE,in_17DArRHiCtHGC78FCNt8dvez,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:04.270","2017-03-27 22:34:04.747","2015-12-01 01:55:49",NULL,NULL
STRIPE,in_17DArfHiCtHGC78F423bLfdh,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:05.818","2017-03-27 22:34:05.881","2015-12-01 01:56:03",NULL,NULL
STRIPE,in_17DAs6HiCtHGC78Fz9ynWBvF,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:06.420","2017-03-27 22:34:06.625","2015-12-01 01:56:30",NULL,NULL
STRIPE,in_17DAsRHiCtHGC78F0noZ5Job,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:07.296","2017-03-27 22:34:07.385","2015-12-01 01:56:51",NULL,NULL
STRIPE,in_17DAtBHiCtHGC78FwQnwdlzZ,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:07.651","2017-03-27 22:34:07.697","2015-12-01 01:57:37",NULL,NULL
STRIPE,in_17DAtwHiCtHGC78FHJ7z6hIC,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:08.567","2017-03-27 22:34:08.898","2015-12-01 01:58:24",NULL,NULL
STRIPE,in_17DAufHiCtHGC78FUI3d8Xtb,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:10.485","2017-03-27 22:34:10.901","2015-12-01 01:59:09",NULL,NULL
STRIPE,in_17DAv3HiCtHGC78F2GjVPDGr,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:12.692","2017-03-27 22:34:13.074","2015-12-01 01:59:33",NULL,NULL
STRIPE,in_17DAvDHiCtHGC78FYW8BCSjC,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:13.807","2017-03-27 22:34:13.845","2015-12-01 01:59:43",NULL,NULL
STRIPE,in_17DAvcHiCtHGC78FzaWBnRzM,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:14.319","2017-03-27 22:34:14.424","2015-12-01 02:00:08",NULL,NULL
STRIPE,in_17DAw2HiCtHGC78FqgfWMqLR,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:14.972","2017-03-27 22:34:15.076","2015-12-01 02:00:34",NULL,NULL
STRIPE,in_17DAwDHiCtHGC78F6aflOPot,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:15.292","2017-03-27 22:34:15.322","2015-12-01 02:00:45",NULL,NULL
STRIPE,in_17EOiXHiCtHGC78FPybgnqv9,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:34.795","2017-03-27 22:34:35.053","2015-12-04 10:55:41",NULL,NULL
STRIPE,in_17EOisHiCtHGC78Fdk7YYzUg,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:36.449","2017-03-27 22:34:36.780","2015-12-04 10:56:02",NULL,NULL
STRIPE,in_17EOjXHiCtHGC78Frziqgloh,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:39.934","2017-03-27 22:34:40.291","2015-12-04 10:56:43",NULL,NULL
STRIPE,in_17EOjrHiCtHGC78FitXp5KXO,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:41.890","2017-03-27 22:34:42.154","2015-12-04 10:57:03",NULL,NULL
STRIPE,in_17EOkWHiCtHGC78F2Zmd4wYV,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:44.436","2017-03-27 22:34:44.774","2015-12-04 10:57:44",NULL,NULL
STRIPE,in_17EOkxHiCtHGC78FijhRX6vT,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:46.743","2017-03-27 22:34:47.209","2015-12-04 10:58:11",NULL,NULL
STRIPE,in_17EVAwHiCtHGC78FFKRxwEdH,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:51.608","2017-03-27 22:34:51.942","2015-12-04 17:49:26",NULL,NULL
STRIPE,in_17EVBHHiCtHGC78FaeC4mEQx,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:53.359","2017-03-27 22:34:53.779","2015-12-04 17:49:47",NULL,NULL
STRIPE,in_17EreLHiCtHGC78Fc7auVmSv,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:57.648","2017-03-27 22:34:58.063","2015-12-05 17:49:17",NULL,NULL
STRIPE,in_17ErefHiCtHGC78FygCRhE0T,...,SHIPPING,...,NULL,...,"2017-03-27 22:34:59.465","2017-03-27 22:34:59.683","2015-12-05 17:49:37",NULL,NULL
STRIPE,in_17FE7eHiCtHGC78FbP9KwW5v,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:01.975","2017-03-27 22:35:02.066","2015-12-06 17:49:02",NULL,NULL
STRIPE,in_17FE7rHiCtHGC78FtFb4mxHc,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:02.764","2017-03-27 22:35:03.003","2015-12-06 17:49:15",NULL,NULL
STRIPE,in_17Fab5HiCtHGC78FNfnW3von,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:05.556","2017-03-27 22:35:05.594","2015-12-07 17:48:55",NULL,NULL
STRIPE,in_17FabGHiCtHGC78FfR7gBhI4,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:05.900","2017-03-27 22:35:05.929","2015-12-07 17:49:06",NULL,NULL
STRIPE,in_17Fx4hHiCtHGC78FgHPcJU1r,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:06.816","2017-03-27 22:35:11.241","2015-12-08 17:48:59",NULL,NULL
STRIPE,in_17Fx52HiCtHGC78FTIt8UCUu,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:08.355","2017-03-27 22:35:08.768","2015-12-08 17:49:20",NULL,NULL
STRIPE,in_17GJYYHiCtHGC78FYSXMoDz1,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:14.284","2017-03-27 22:35:14.740","2015-12-09 17:49:18",NULL,NULL
