fk_x_invoice_item_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:52:12.649",...,USD,1048,1,0,NULL,NULL,"USPS label: 9405510200882998694500",...
...,"2017-03-27 22:52:12.668",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057362740",...
...,"2017-03-27 22:52:12.690",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883041382467",...
...,"2017-03-27 22:52:12.709",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057403337",...
...,"2017-03-27 22:52:12.728",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057554749",...
...,"2017-03-27 22:52:12.747",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057554107",...
...,"2017-03-27 22:52:12.765",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057565790",...
...,"2017-03-27 22:52:12.784",...,USD,426,1,0,NULL,NULL,"USPS label: 9400110897700057557573",...
...,"2017-03-27 22:52:12.805",...,USD,432,1,0,NULL,NULL,"USPS label: 9400110897700057613026",...
...,"2017-03-27 22:52:12.823",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200793977153959",...
...,"2017-03-27 22:52:12.845",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057614955",...
...,"2017-03-27 22:52:12.863",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057718509",...
...,"2017-03-27 22:52:12.881",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883042706910",...
...,"2017-03-27 22:52:12.900",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057781336",...
...,"2017-03-27 22:52:12.918",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057817011",...
...,"2017-03-27 22:52:12.936",...,USD,2641,1,0,NULL,NULL,"USPS label: 9405510200830139342667",...
...,"2017-03-27 22:52:12.960",...,USD,709,1,0,NULL,NULL,"USPS label: 9405510200883044888393",...
...,"2017-03-27 22:52:18.315",...,USD,21653,0,1,"2016-04-29 17:36:14","2016-05-25 17:11:51","Remaining time on Custom Plus/Mo 250 after 30 Apr 2016",...
...,"2017-03-27 22:52:21.373",...,USD,21653,0,1,NULL,NULL,"Remaining time on Custom Plus/Mo 250 after 30 Apr 2016",...
...,"2017-03-27 22:52:18.338",...,USD,-1646,0,1,"2016-04-29 17:36:14","2016-05-25 17:11:51","Unused time on RETURNLY PRO /MO after 30 Apr 2016",...
...,"2017-03-27 22:52:21.365",...,USD,-1646,0,1,NULL,NULL,"Unused time on RETURNLY PRO /MO after 30 Apr 2016",...
...,"2017-03-27 22:52:19.325",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700056369580",...
...,"2017-03-27 22:52:19.343",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700056731349",...
...,"2017-03-27 22:52:19.362",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700056978164",...
...,"2017-03-27 22:52:19.380",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700056799523",...
...,"2017-03-27 22:52:19.398",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057362887",...
...,"2017-03-27 22:52:19.416",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700056981300",...
...,"2017-03-27 22:52:19.435",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057704663",...
...,"2017-03-27 22:52:19.453",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057411066",...
...,"2017-03-27 22:52:19.472",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057721721",...
...,"2017-03-27 22:52:19.491",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057719810",...
...,"2017-03-27 22:52:19.509",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057774147",...
...,"2017-03-27 22:52:19.528",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057772693",...
...,"2017-03-27 22:52:19.547",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057920971",...
...,"2017-03-27 22:52:19.565",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057814942",...
...,"2017-03-27 22:52:19.583",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057936804",...
...,"2017-03-27 22:52:19.602",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700058045222",...
