fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,ii_16uvIJHiCtHGC78FJ5TYB03R,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.621","2017-03-27 22:31:21.623","2015-10-11 18:40:07",NULL,NULL
STRIPE,ii_16uvIJHiCtHGC78FBVBKrDuR,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.639","2017-03-27 22:31:21.642","2015-10-11 18:40:07",NULL,NULL
STRIPE,ii_16uvIKHiCtHGC78FuVgxRnIr,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.658","2017-03-27 22:31:21.660","2015-10-11 18:40:08",NULL,NULL
STRIPE,ii_16uvIKHiCtHGC78FJrlU6pJd,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.676","2017-03-27 22:31:21.679","2015-10-11 18:40:08",NULL,NULL
STRIPE,ii_16uvIKHiCtHGC78FeSHSMBB5,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.695","2017-03-27 22:31:21.697","2015-10-11 18:40:08",NULL,NULL
STRIPE,ii_16uvIKHiCtHGC78FklOvgike,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.713","2017-03-27 22:31:21.715","2015-10-11 18:40:08",NULL,NULL
STRIPE,ii_16uvICHiCtHGC78FTLdpmwTy,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.981","2017-03-27 22:31:21.983","2015-10-11 18:40:00",NULL,NULL
STRIPE,ii_16uvICHiCtHGC78FJacp7deH,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:22.000","2017-03-27 22:31:22.002","2015-10-11 18:40:00",NULL,NULL
STRIPE,ii_16uvICHiCtHGC78F0IGThsGC,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:22.194","2017-03-27 22:31:22.197","2015-10-11 18:40:00",NULL,NULL
STRIPE,ii_16uvICHiCtHGC78FfIRc3dcT,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:22.214","2017-03-27 22:31:22.217","2015-10-11 18:40:00",NULL,NULL
STRIPE,ii_16vHlEHiCtHGC78FA15SoKwt,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.815","2017-03-27 22:31:24.817","2015-10-12 18:39:28",NULL,NULL
STRIPE,ii_16vHlFHiCtHGC78FYorDWNfN,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.900","2017-03-27 22:31:24.903","2015-10-12 18:39:29",NULL,NULL
STRIPE,ii_16vHlFHiCtHGC78FTtqSQkBS,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.918","2017-03-27 22:31:24.921","2015-10-12 18:39:29",NULL,NULL
STRIPE,ii_16vHlFHiCtHGC78FmQPLtF5H,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.937","2017-03-27 22:31:24.940","2015-10-12 18:39:29",NULL,NULL
STRIPE,ii_16vHlFHiCtHGC78FuGzXjMDW,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.956","2017-03-27 22:31:24.959","2015-10-12 18:39:29",NULL,NULL
STRIPE,ii_16vHlGHiCtHGC78FDRNmqbgQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.975","2017-03-27 22:31:24.977","2015-10-12 18:39:30",NULL,NULL
STRIPE,ii_16vHlGHiCtHGC78FtRypoPWs,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:24.994","2017-03-27 22:31:24.997","2015-10-12 18:39:30",NULL,NULL
STRIPE,ii_16veEpHiCtHGC78FhiDU6QIe,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:26.639","2017-03-27 22:31:26.641","2015-10-13 18:39:31",NULL,NULL
STRIPE,ii_16veEqHiCtHGC78FmgBkY3qm,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:26.769","2017-03-27 22:31:26.771","2015-10-13 18:39:32",NULL,NULL
STRIPE,ii_16w0iNHiCtHGC78FfWA4F2AS,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:28.923","2017-03-27 22:31:28.925","2015-10-14 18:39:31",NULL,NULL
STRIPE,ii_16w0iNHiCtHGC78F6bfZfXSs,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:28.941","2017-03-27 22:31:28.944","2015-10-14 18:39:31",NULL,NULL
STRIPE,ii_16w0iNHiCtHGC78FzOmmNK3j,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:28.960","2017-03-27 22:31:28.962","2015-10-14 18:39:31",NULL,NULL
STRIPE,ii_16w0iNHiCtHGC78FocLlJ04G,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:28.978","2017-03-27 22:31:28.981","2015-10-14 18:39:31",NULL,NULL
STRIPE,ii_16w0iNHiCtHGC78FL0eiNkYv,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:28.997","2017-03-27 22:31:28.999","2015-10-14 18:39:31",NULL,NULL
STRIPE,ii_16w0iOHiCtHGC78FJEHv1eWJ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.015","2017-03-27 22:31:29.017","2015-10-14 18:39:32",NULL,NULL
STRIPE,ii_16w0iOHiCtHGC78FFnThneNk,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.033","2017-03-27 22:31:29.035","2015-10-14 18:39:32",NULL,NULL
STRIPE,ii_16w0iOHiCtHGC78F7rYDJS4h,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.051","2017-03-27 22:31:29.054","2015-10-14 18:39:32",NULL,NULL
STRIPE,ii_16w0iOHiCtHGC78FD2yFbHxl,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.069","2017-03-27 22:31:29.072","2015-10-14 18:39:32",NULL,NULL
STRIPE,ii_16w0iPHiCtHGC78F8KMeEGH3,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.088","2017-03-27 22:31:29.090","2015-10-14 18:39:33",NULL,NULL
STRIPE,ii_16w0iPHiCtHGC78FMNfDWRii,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.106","2017-03-27 22:31:29.109","2015-10-14 18:39:33",NULL,NULL
STRIPE,ii_16w0iPHiCtHGC78FZuC55mc0,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.124","2017-03-27 22:31:29.127","2015-10-14 18:39:33",NULL,NULL
STRIPE,ii_16w0iPHiCtHGC78FDa7FCt88,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.143","2017-03-27 22:31:29.145","2015-10-14 18:39:33",NULL,NULL
STRIPE,ii_16wNBsHiCtHGC78FEyT7ri4U,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.041","2017-03-27 22:31:32.043","2015-10-15 18:39:28",NULL,NULL
STRIPE,ii_16wNBsHiCtHGC78FdkC4V8m0,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.059","2017-03-27 22:31:32.061","2015-10-15 18:39:28",NULL,NULL
STRIPE,ii_16wNBsHiCtHGC78FRxYAC1Wr,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.078","2017-03-27 22:31:32.080","2015-10-15 18:39:28",NULL,NULL
STRIPE,ii_16wNBtHiCtHGC78Fq7kr0gH5,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.095","2017-03-27 22:31:32.098","2015-10-15 18:39:29",NULL,NULL
STRIPE,ii_16wNBtHiCtHGC78FZGYH79D2,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.114","2017-03-27 22:31:32.116","2015-10-15 18:39:29",NULL,NULL
STRIPE,ii_16wNBtHiCtHGC78FJP8Hn4CJ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.132","2017-03-27 22:31:32.134","2015-10-15 18:39:29",NULL,NULL
STRIPE,ii_16wNBtHiCtHGC78FMpr1gRkK,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.151","2017-03-27 22:31:32.153","2015-10-15 18:39:29",NULL,NULL
STRIPE,ii_16wNBtHiCtHGC78FPWTcGnQN,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.170","2017-03-27 22:31:32.172","2015-10-15 18:39:29",NULL,NULL
STRIPE,ii_16wNBuHiCtHGC78FNokGNAFs,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.188","2017-03-27 22:31:32.190","2015-10-15 18:39:30",NULL,NULL
STRIPE,ii_16wNBuHiCtHGC78FEGd7o3MV,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.206","2017-03-27 22:31:32.208","2015-10-15 18:39:30",NULL,NULL
STRIPE,ii_16wNBuHiCtHGC78Fy7lTsO7y,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.228","2017-03-27 22:31:32.230","2015-10-15 18:39:30",NULL,NULL
STRIPE,ii_16wNBuHiCtHGC78FtiequA14,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.246","2017-03-27 22:31:32.248","2015-10-15 18:39:30",NULL,NULL
STRIPE,ii_16wNBvHiCtHGC78Fedb3E5V2,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.264","2017-03-27 22:31:32.267","2015-10-15 18:39:31",NULL,NULL
